date,Sun-Earth (AU),Sun-Cassini (AU),Earth-Cassini (AU),Impact parameter (AU),Impact parameter (Rsun),LE (AU),LC (AU),LE/rE,LC/rC,LE/rE + LC/rC,Shapiro (s),Shapiro (us),Shapiro JG (s),Shapiro JG (us),y,y x1e13,yJG,yJG x1e13,Shapiro approx (s),Difference (ns)
A.D. 2002-Jun-06 00:00:00.0000,1.0147020551883592,7.369554999940404,8.35610790691101,0.2228706015915244,47.92434589581727,0.9899237120857909,7.366184194825218,0.975580671216864,0.9995426039814869,-0.02487672480164904,6.292867375968719e-05,62.92867375968719,7.265712557347172e-05,72.65712557347173,1.467325013211589e-11,146.7325013211589,1.485523098078235e-11,148.5523098078235,6.30519444042771e-05,-123.27064458990844
A.D. 2002-Jun-06 00:01:00.0000,1.0147021516789543,7.369557350311741,8.356112856949476,0.2228608138404693,47.92224121460873,0.9899260145466747,7.3661868424028025,0.9755828475466576,0.9995426444562785,-0.02487450799706381,6.292955415469512e-05,62.92955415469512,7.265801688733057e-05,72.65801688733058,1.4673577486520142e-11,146.73577486520142,1.485555429766289e-11,148.55554297662889,6.305281374789527e-05,-123.25959320015178
A.D. 2002-Jun-06 00:02:00.0000,1.0147022481671781,7.36955970068134,8.356117806873675,0.22285102606895202,47.92013652900015,0.9899283169076136,7.366189489966061,0.9755850237798204,0.9995426849293361,-0.024872291290843673,6.293043458898558e-05,62.93043458898558,7.265890823998744e-05,72.65890823998744,1.46742322206267e-11,146.742322206267,1.485620095694789e-11,148.5620095694789,6.305368313129817e-05,-123.24854231259756
A.D. 2002-Jun-06 00:03:00.0000,1.0147023446530317,7.369562051049205,8.356122756683606,0.22284123827697325,47.91803183899171,0.9899306191686087,7.366192137514996,0.9755871999163523,0.9995427254006594,-0.024870074682988186,6.29313150625616e-05,62.931315062561595,7.26597996314454e-05,72.65979963144541,1.4674887014477315e-11,146.74887014477315,1.4856847675864014e-11,148.56847675864014,6.305455255448936e-05,-123.23749192776079
A.D. 2002-Jun-06 00:04:00.0000,1.0147024411365138,7.369564401415333,8.356127706379265,0.2228314504645345,47.91592714458371,0.9899329213296585,7.366194785049606,0.9755893759562535,0.9995427658702487,-0.024867858173498014,6.293219557542731e-05,62.932195575427315,7.266069106170855e-05,72.66069106170855,1.467554186298979e-11,146.75541862989792,1.4857494449329057e-11,148.57494449329056,6.30554220174722e-05,-123.22644204488252
A.D. 2002-Jun-06 00:05:00.0000,1.0147025376176249,7.369566751779724,8.356132655960652,0.2228216626316361,47.91382244577622,0.9899352233907635,7.366197432569889,0.9755915518995237,0.9995428063381038,-0.024865641762372714,6.293307612758515e-05,62.93307612758515,7.266158253077933e-05,72.66158253077933,1.467619677565089e-11,146.7619677565089,1.4858141287055668e-11,148.58141287055668,6.305629152025028e-05,-123.21539266512825
A.D. 2002-Jun-06 00:06:00.0000,1.014702634096365,7.369569102142376,8.356137605427767,0.22281187477827946,47.91171774256956,0.9899375253519234,7.366200080075844,0.9755937277461628,0.9995428468042247,-0.02486342544961251,6.293395671904039e-05,62.93395671904039,7.2662474038663e-05,72.66247403866299,1.46768517526865e-11,146.768517526865,1.4858788189156783e-11,148.58788189156783,6.305716106282706e-05,-123.20434378666843
A.D. 2002-Jun-06 00:07:00.0000,1.0147027305727339,7.369571452503293,8.356142554780613,0.2228020869044656,47.90961303496393,0.9899398272131378,7.366202727567475,0.9755959034961708,0.9995428872686113,-0.02486120923521784,6.293483734979548e-05,62.93483734979548,7.266336558536202e-05,72.66336558536203,1.467750677037969e-11,146.7750677037969,1.4859435131915476e-11,148.59435131915475,6.305803064520602e-05,-123.19329541054657
A.D. 2002-Jun-06 00:08:00.0000,1.014702827046731,7.369573802862475,8.356147504019187,0.22279229901019518,47.90750832295949,0.9899421289744063,7.366205375044782,0.9755980791495474,0.9995429277312637,-0.02485899311918871,6.293571801985284e-05,62.935718019852835,7.266425717087882e-05,72.66425717087883,1.4678161857077827e-11,146.78161857077828,1.4860082143679123e-11,148.60082143679122,6.305890026739068e-05,-123.18224753784688
A.D. 2002-Jun-06 00:09:00.0000,1.0147029235183571,7.369576153219917,8.356152453143489,0.22278251109546934,47.90540360655647,0.9899444306357291,7.3662080225077595,0.9756002547062927,0.9995429681921821,-0.024856777101525118,6.293659872921833e-05,62.936598729218325,7.266514879521927e-05,72.66514879521927,1.4678816998437828e-11,146.78816998437827,1.486072920999169e-11,148.60729209991692,6.305976992938451e-05,-123.17120016618412
A.D. 2002-Jun-06 00:10:00.0000,1.0147030199876115,7.3695785035756245,8.356157402153517,0.222772723160289,47.90329888575508,0.9899467321971058,7.366210669956412,0.9756024301664068,0.999543008651366,-0.024854561182227286,6.293747947789265e-05,62.93747947789265,7.266604045838402e-05,72.66604045838402,1.4679472194798498e-11,146.79472194798498,1.4861376331304932e-11,148.61376331304933,6.306063963119103e-05,-123.16015329837722
A.D. 2002-Jun-06 00:11:00.0000,1.0147031164544948,7.369580853929596,8.356162351049276,0.22276293520465526,47.90119416055555,0.9899490336585367,7.36621331739074,0.9756046055298893,0.9995430491088159,-0.024852345361294992,6.29383602658817e-05,62.9383602658817,7.266693216037902e-05,72.66693216037902,1.4680127465020442e-11,146.80127465020442,1.4862023526592386e-11,148.62023526592387,6.306150937281369e-05,-123.14910693198672
A.D. 2002-Jun-06 00:12:00.0000,1.0147032129190057,7.369583204281828,8.356167299830759,0.22275314722856895,47.89908943095806,0.9899513350200203,7.3662159648107375,0.9756067807967401,0.9995430895645313,-0.02485012963872868,6.293924109318845e-05,62.93924109318845,7.266782390120721e-05,72.66782390120721,1.468078278979131e-11,146.80782789791309,1.486267077642876e-11,148.6267077642876,6.3062379154256e-05,-123.13806106755473
A.D. 2002-Jun-06 00:13:00.0000,1.0147033093811455,7.369585554632324,8.356172248497968,0.22274335923203126,47.89698469696285,0.9899536362815579,7.36621861221641,0.9756089559669593,0.9995431300185127,-0.02484791401452835,6.294012195981648e-05,62.94012195981648,7.26687156808722e-05,72.6687156808722,1.4681438160189016e-11,146.81438160189018,1.4863318071779034e-11,148.63318071779034,6.306324897552148e-05,-123.1270157049999
A.D. 2002-Jun-06 00:14:00.0000,1.0147034058409132,7.369587904981085,8.356177197050906,0.22273357121504286,47.89487995857011,0.9899559374431482,7.366221259607757,0.9756111310405468,0.9995431704707597,-0.024845698488693557,6.294100286576767e-05,62.94100286576767,7.266960749937583e-05,72.66960749937583,1.4682093585474458e-11,146.8209358547446,1.4863965422017046e-11,148.63965422017046,6.306411883661361e-05,-123.11597084593504
A.D. 2002-Jun-06 00:15:00.0000,1.0147035022983093,7.3695902553281085,8.35618214548957,0.22272378317760494,47.89277521578004,0.9899582385047917,7.366223906984777,0.9756133060175022,0.9995432109212723,-0.024843483061225413,6.294188381104673e-05,62.941883811046736,7.267049935672284e-05,72.67049935672283,1.468274907953898e-11,146.8274907953898,1.4864612841034134e-11,148.64612841034133,6.306498873753587e-05,-123.10492648914037
A.D. 2002-Jun-06 00:16:00.0000,1.014703598753333,7.369592605673395,8.356187093813956,0.22271399511971865,47.89067046859292,0.9899605394664875,7.366226554347469,0.9756154808978259,0.9995432513700507,-0.02484126773212325,6.294276479565722e-05,62.94276479565722,7.267139125291675e-05,72.67139125291675,1.468340463346049e-11,146.8340463346049,1.4865260319908218e-11,148.6526031990822,6.306585867829174e-05,-123.09388263452104
A.D. 2002-Jun-06 00:17:00.0000,1.0147036952059847,7.369594956016944,8.35619204202407,0.22270420704138466,47.888565717008895,0.9899628403282358,7.366229201695835,0.9756176556815175,0.9995432918170949,-0.024839052501387737,6.294364581960275e-05,62.94364581960275,7.267228318796122e-05,72.67228318796123,1.4684060247013123e-11,146.84060247013122,1.486590785852636e-11,148.6590785852636,6.306672865888477e-05,-123.08283928202283
